message,label
Your account has been compromised! Click here to secure it.,1
Urgent: Verify your PayPal account immediately to avoid suspension.,1
You have won a $1000 gift card! Claim now by clicking the link.,1
Reset your banking password now! Unauthorized login detected.,1
"Dear user, confirm your email address to receive an exclusive offer.",1
"Hey, are you coming to the meeting tomorrow? Let me know.",0
Please find the attached report for this month's financials.,0
"Hi Mom, I’ll be visiting you this weekend. Looking forward to it!",0
Reminder: Your dentist appointment is scheduled for next Thursday.,0
Can you review the project proposal before our call? Thanks!,0
Your bank account has been suspended! Click here to reactivate it.,1
We've detected unusual activity on your email account. Verify now!,1
Your Netflix subscription has been canceled. Click below to renew.,1
You have an urgent security alert on your Apple ID. Fix it immediately.,1
Congratulations! You've won a free vacation trip to the Maldives. Claim now.,1
Your PayPal transaction failed! Please update your payment information.,1
Your Amazon order has been delayed. Click here to check status.,1
You need to reset your Facebook password immediately!,1
Your Microsoft account is under threat. Verify ownership to secure it.,1
Your email has been flagged for suspicious activity. Confirm your identity.,1
"Hey, are you available for the project discussion tomorrow?",0
Can you please share the presentation slides before the meeting?,0
Let's schedule a coffee chat for next week!,0
Reminder: Your car service appointment is on Monday at 10 AM.,0
Happy Birthday! Hope you have a fantastic day filled with joy.,0
Please review the attached budget report for Q3.,0
Thanks for your email! I'll get back to you by the end of the day.,0
Your order has been shipped! You can track your delivery here.,0
Let’s catch up for lunch this Friday at our favorite spot.,0
Reminder: Your library book is due for return on Wednesday.,0
