message,label
Your account has been compromised! Click here to secure it.,1
Urgent: Verify your PayPal account immediately to avoid suspension.,1
You have won a $1000 gift card! Claim now by clicking the link.,1
Reset your banking password now! Unauthorized login detected.,1
"Dear user, confirm your email address to receive an exclusive offer.",1
"Hey, are you coming to the meeting tomorrow? Let me know.",0
Please find the attached report for this month's financials.,0
"Hi Mom, I’ll be visiting you this weekend. Looking forward to it!",0
Reminder: Your dentist appointment is scheduled for next Thursday.,0
Can you review the project proposal before our call? Thanks!,0
