message,label
Exclusive deal for you! Click now to claim your discount.,1
Exclusive deal for you! Click now to claim your discount.,1
We've detected unusual activity on your email account. Verify now!,1
Urgent: Verify your PayPal account immediately to avoid suspension.,1
Your mobile service will be disconnected unless you verify your payment.,1
Your mobile service will be disconnected unless you verify your payment.,1
Your Netflix subscription has been canceled. Click below to renew.,1
Reset your banking password now! Unauthorized login detected.,1
Security alert: Someone tried to access your account. Change your password now!,1
We've detected unusual activity on your email account. Verify now!,1
Your PayPal transaction failed! Please update your payment information.,1
Last chance! Your coupon expires in 24 hours. Click here.,1
Attention: Unusual transactions detected in your bank account.,1
Your mobile service will be disconnected unless you verify your payment.,1
We've detected unusual activity on your email account. Verify now!,1
We've detected unusual activity on your email account. Verify now!,1
We've detected unusual activity on your email account. Verify now!,1
Your email has been flagged for suspicious activity. Confirm your identity.,1
Your Amazon order has been delayed. Click here to check status.,1
Attention: Unusual transactions detected in your bank account.,1
Attention: Unusual transactions detected in your bank account.,1
We need you to confirm your banking details immediately.,1
Your Amazon order has been delayed. Click here to check status.,1
Your account has been suspended! Click here to reactivate it.,1
Your Amazon order has been delayed. Click here to check status.,1
You have won a $1000 gift card! Claim now by clicking the link.,1
Your mobile service will be disconnected unless you verify your payment.,1
Your account has been suspended! Click here to reactivate it.,1
Exclusive deal for you! Click now to claim your discount.,1
Last chance! Your coupon expires in 24 hours. Click here.,1
Last chance! Your coupon expires in 24 hours. Click here.,1
Last chance! Your coupon expires in 24 hours. Click here.,1
Attention: Unusual transactions detected in your bank account.,1
We need you to confirm your banking details immediately.,1
Exclusive deal for you! Click now to claim your discount.,1
Attention: Unusual transactions detected in your bank account.,1
Exclusive deal for you! Click now to claim your discount.,1
Warning: Your credit card information has been leaked. Act fast!,1
Reset your banking password now! Unauthorized login detected.,1
Your Netflix subscription has been canceled. Click below to renew.,1
We've detected unusual activity on your email account. Verify now!,1
Your account has been suspended! Click here to reactivate it.,1
We've detected unusual activity on your email account. Verify now!,1
We need you to confirm your banking details immediately.,1
Your email has been flagged for suspicious activity. Confirm your identity.,1
Your Netflix subscription has been canceled. Click below to renew.,1
Your PayPal transaction failed! Please update your payment information.,1
Attention: Unusual transactions detected in your bank account.,1
Urgent: Verify your PayPal account immediately to avoid suspension.,1
Urgent: Verify your PayPal account immediately to avoid suspension.,1
Your account has been suspended! Click here to reactivate it.,1
Your mobile service will be disconnected unless you verify your payment.,1
Your Netflix subscription has been canceled. Click below to renew.,1
Security alert: Someone tried to access your account. Change your password now!,1
Your Amazon order has been delayed. Click here to check status.,1
Warning: Your credit card information has been leaked. Act fast!,1
Your email has been flagged for suspicious activity. Confirm your identity.,1
Your Netflix subscription has been canceled. Click below to renew.,1
Your account has been suspended! Click here to reactivate it.,1
Your account has been suspended! Click here to reactivate it.,1
Attention: Unusual transactions detected in your bank account.,1
Your PayPal transaction failed! Please update your payment information.,1
Your PayPal transaction failed! Please update your payment information.,1
We need you to confirm your banking details immediately.,1
Your Amazon order has been delayed. Click here to check status.,1
Attention: Unusual transactions detected in your bank account.,1
Your mobile service will be disconnected unless you verify your payment.,1
Your mobile service will be disconnected unless you verify your payment.,1
Exclusive deal for you! Click now to claim your discount.,1
Your account has been suspended! Click here to reactivate it.,1
Security alert: Someone tried to access your account. Change your password now!,1
Your PayPal transaction failed! Please update your payment information.,1
Warning: Your credit card information has been leaked. Act fast!,1
You have won a $1000 gift card! Claim now by clicking the link.,1
Your email has been flagged for suspicious activity. Confirm your identity.,1
Reset your banking password now! Unauthorized login detected.,1
